Application,Tool,Partition Count,Decomposition Type,Commits,Contributors,Class Names,Static Structural,Granularity,SMQ,CMQ,CDP,TurboMQ_commits,TurbomMQ_contributors,CiD
demo,mem,4_partitions,3600_100_10_LC_final,X,X,X,55.5889724310777,method_level,-1,X,0,43.891543982306,13.1725417439703,100
demo,mem,4_partitions,3600_100_10_LC_final,X,X,X,25.3968253968254,class_level,-1,X,0,43.891543982306,13.1725417439703,100
jpetstore,mem,4_partitions,3600_100_10_LC_final,X,X,X,33.2021857923497,method_level,-1,X,0,19.8101918993258,19.8312917134554,100
jpetstore,mem,4_partitions,3600_100_10_LC_final,X,X,X,7.76119402985075,class_level,-1,X,0,19.8101918993258,19.8312917134554,100
partsunlimited,mem,4_partitions,3600_100_10_LC_final,X,X,X,81.3186813186813,method_level,-1,X,0,49.0933568934326,49.0740740740741,100
partsunlimited,mem,4_partitions,3600_100_10_LC_final,X,X,X,0,class_level,-1,X,0,49.0933568934326,49.0740740740741,100
spring-petclinic,mem,4_partitions,3600_100_10_LC_final,X,X,X,50.3991528185077,method_level,-1,X,0,24.3763513229988,17.893203429033,100
spring-petclinic,mem,4_partitions,3600_100_10_LC_final,X,X,X,36.8518518518519,class_level,-1,X,0,24.3763513229988,17.893203429033,100
demo,mem,4_partitions,3600_100_10_TS_final,X,X,X,39.9982408754339,method_level,-1,X,1.96078431372549,13.6864438315353,4.76851851851852,98.0392156862745
demo,mem,4_partitions,3600_100_10_TS_final,X,X,X,2.11560886223555,class_level,-1,X,2.61437908496732,13.6864438315353,4.76851851851852,97.3856209150327
jpetstore,mem,4_partitions,3600_100_10_TS_final,X,X,X,28.2015503875969,method_level,-1,X,20,16.3481091780242,16.4270242331923,80
jpetstore,mem,4_partitions,3600_100_10_TS_final,X,X,X,14.0613026819923,class_level,-1,X,20,16.3481091780242,16.4270242331923,80
partsunlimited,mem,4_partitions,3600_100_10_TS_final,X,X,X,23.2845976598104,method_level,-1,X,10.6060606060606,8.21768767696441,8.24140120440953,89.3939393939394
partsunlimited,mem,4_partitions,3600_100_10_TS_final,X,X,X,11.4775132275132,class_level,-1,X,10.6060606060606,8.21824095091975,8.24075762492007,89.3939393939394
spring-petclinic,mem,4_partitions,3600_100_10_TS_final,X,X,X,25.1069518716578,method_level,-1,X,0,31.2316989001155,23.7260073982162,100
spring-petclinic,mem,4_partitions,3600_100_10_TS_final,X,X,X,13.2620320855615,class_level,-1,X,0,31.2316989001155,23.7260073982162,100
jpetstore,tomicroservices_p1,4_partitions,best_tradeoff,X,X,X,29.5424771167048,method_level,-1,X,83.3333333333333,24.6567205861904,24.6526179050368,16.6666666666667
spring-petclinic,tomicroservices_p1,4_partitions,best_tradeoff,X,X,X,20.3409090909091,method_level,-1,X,50,23.7980739018576,23.4550470288652,50
jpetstore,tomicroservices_p2,8_partitions,best_tradeoff,X,X,X,9.33768746976294,method_level,-1,X,21.4285714285714,12.0853984404159,12.0974797822317,78.5714285714286
spring-petclinic,tomicroservices_p2,12_partitions,best_tradeoff,X,X,X,5.92592592592593,method_level,-1,X,3.03030303030303,6.89090895037625,6.59927309400269,96.969696969697
jpetstore,tomicroservices_p3,5_partitions,best_tradeoff,X,X,X,41.9172494172494,method_level,-1,X,30,19.6703363320842,19.6637062441978,70
spring-petclinic,tomicroservices_p3,5_partitions,best_tradeoff,X,X,X,35.6521739130435,method_level,-1,X,0,21.5899984516229,19.5106750682776,100
demo,mono2micro,4_partitions,business,X,X,X,91.6694715807434,method_level,-1,X,0,48.411738802859,24.5762711864407,100
demo,mono2micro,4_partitions,business,X,X,X,80.2506435006435,class_level,-1,X,0,48.411738802859,24.5762711864407,100
jpetstore,mono2micro,3_partitions,business,X,X,X,73.6445185361594,method_level,-1,X,100,33.124646624302,33.1070488217231,0
jpetstore,mono2micro,3_partitions,business,X,X,X,67.9545454545455,class_level,-1,X,100,33.124646624302,33.1070488217231,0
partsunlimited,mono2micro,5_partitions,business,X,X,X,55.9348467033676,method_level,-1,X,40,19.9121705455997,19.960293231331,60
partsunlimited,mono2micro,5_partitions,business,X,X,X,42.9245377989413,class_level,-1,X,40,19.9121705455997,19.960293231331,60
spring-petclinic,mono2micro,3_partitions,business,X,X,X,82.9923273657289,method_level,-1,X,33.3333333333333,39.2706293343932,34.627911265408,66.6666666666667
spring-petclinic,mono2micro,3_partitions,business,X,X,X,77.7777777777778,class_level,-1,X,33.3333333333333,39.2706293343932,34.627911265408,66.6666666666667
demo,tomicroservices,4_partitions,cohesion,X,X,X,40.2963879454097,method_level,-1,X,50,26.2186259515817,24.3478260869565,50
jpetstore,tomicroservices,3_partitions,cohesion,X,X,X,60.024154589372,method_level,-1,X,66.6666666666667,33.0087701546059,33.0032957489266,33.3333333333333
partsunlimited,tomicroservices,5_partitions,cohesion,X,X,X,34.4058234758872,method_level,-1,X,70,19.3967894179177,19.4433608240982,30
spring-petclinic,tomicroservices,3_partitions,cohesion,X,X,X,63.4521575984991,method_level,-1,X,33.3333333333333,34.7259308237938,32.8802389045252,66.6666666666667
jpetstore,tomicroservices_p1,4_partitions,cohesion,X,X,X,29.5424771167048,method_level,-1,X,83.3333333333333,24.6567205861904,24.6526179050368,16.6666666666667
spring-petclinic,tomicroservices_p1,4_partitions,cohesion,X,X,X,20.3409090909091,method_level,-1,X,50,23.7980739018576,23.4550470288652,50
jpetstore,tomicroservices_p2,10_partitions,cohesion,X,X,X,5.54976060191518,method_level,-1,X,22.2222222222222,9.58087904534326,9.58516263219274,77.7777777777778
spring-petclinic,tomicroservices_p2,12_partitions,cohesion,X,X,X,3.7037037037037,method_level,-1,X,1.51515151515152,7.77856981702057,7.02015069316769,98.4848484848485
jpetstore,tomicroservices_p3,5_partitions,cohesion,X,X,X,16.3365753020925,method_level,-1,X,50,19.6370574971326,19.631988341315,50
spring-petclinic,tomicroservices_p3,5_partitions,cohesion,X,X,X,30.8902691511387,method_level,-1,X,0,20.1362720791903,19.316216305857,100
demo,tomicroservices,4_partitions,coupling,X,X,X,46.3210405051769,method_level,-1,X,50,29.1023804036491,24.3478260869565,50
jpetstore,tomicroservices,3_partitions,coupling,X,X,X,34.6428571428571,method_level,-1,X,33.3333333333333,32.9781491038709,33.0236759382862,66.6666666666667
partsunlimited,tomicroservices,5_partitions,coupling,X,X,X,35.3731003731004,method_level,-1,X,50,19.1780016371954,19.412754720491,50
spring-petclinic,tomicroservices,3_partitions,coupling,X,X,X,66.6666666666667,method_level,-1,X,33.3333333333333,33.4260783086853,32.6241865247848,66.6666666666667
jpetstore,tomicroservices_p1,4_partitions,coupling,X,X,X,29.5424771167048,method_level,-1,X,83.3333333333333,24.6567205861904,24.6526179050368,16.6666666666667
spring-petclinic,tomicroservices_p1,4_partitions,coupling,X,X,X,20.3409090909091,method_level,-1,X,50,23.7980739018576,23.4550470288652,50
jpetstore,tomicroservices_p2,8_partitions,coupling,X,X,X,9.55175339366516,method_level,-1,X,21.4285714285714,12.0893280131888,12.085189872742,78.5714285714286
spring-petclinic,tomicroservices_p2,8_partitions,coupling,X,X,X,4.16666666666667,method_level,-1,X,7.14285714285714,10.5339768295452,10.8562480687955,92.8571428571429
jpetstore,tomicroservices_p3,5_partitions,coupling,X,X,X,41.0291005291005,method_level,-1,X,40,19.649105393953,19.6503081344656,60
spring-petclinic,tomicroservices_p3,5_partitions,coupling,X,X,X,35.6521739130435,method_level,-1,X,0,21.5899984516229,19.5106750682776,100
demo,cargo,4_partitions,default,X,X,X,40.5523752563226,method_level,-1,X,50,31.5396062495074,24.2924528301887,50
jpetstore,cargo,3_partitions,default,X,X,X,52.1464646464647,method_level,-1,X,33.3333333333333,32.3688928911969,32.3773780662063,66.6666666666667
partsunlimited,cargo,5_partitions,default,X,X,X,35.108336354238,method_level,-1,X,40,19.4688334341358,19.5782376689001,60
spring-petclinic,cargo,3_partitions,default,X,X,X,0,method_level,-1,X,0,0,0,100
demo,datacentric,n_partitions,default,X,X,X,63.4365294919838,method_level,-1,X,50,38.9015899442582,24.6394230769231,50
demo,datacentric,n_partitions,default,X,X,X,37.9882509623629,class_level,-1,X,66.6666666666667,38.9015899442582,24.6394230769231,33.3333333333333
jpetstore,datacentric,n_partitions,default,X,X,X,79.7403839584614,method_level,-1,X,33.3333333333333,33.0745215291252,33.0827468511971,66.6666666666667
jpetstore,datacentric,n_partitions,default,X,X,X,70.8118588852534,class_level,-1,X,33.3333333333333,33.0745215291252,33.0827468511971,66.6666666666667
partsunlimited,datacentric,n_partitions,default,X,X,X,77.7912864429833,method_level,-1,X,66.6666666666667,25.0279323837033,25.040825184804,33.3333333333333
partsunlimited,datacentric,n_partitions,default,X,X,X,71.712485530885,class_level,-1,X,66.6666666666667,25.0279323837033,25.040825184804,33.3333333333333
spring-petclinic,datacentric,n_partitions,default,X,X,X,67.7777777777778,method_level,-1,X,33.3333333333333,36.118215234007,33.4572488989398,66.6666666666667
spring-petclinic,datacentric,n_partitions,default,X,X,X,64.1912320483749,class_level,-1,X,33.3333333333333,36.118215234007,33.4572488989398,66.6666666666667
demo,ground_truth,n_partitions,default,X,X,X,96.5143947245768,method_level,-1,X,0,47.1335482042158,24.5714285714286,100
demo,ground_truth,n_partitions,default,X,X,X,100,class_level,-1,X,0,44.6030743249047,24.4360902255639,100
jpetstore,ground_truth,n_partitions,default,X,X,X,77.5412348915918,method_level,-1,X,33.3333333333333,33.1175680629399,33.0994871726376,66.6666666666667
jpetstore,ground_truth,n_partitions,default,X,X,X,71.4388495638496,class_level,-1,X,33.3333333333333,33.1175680629399,33.0994871726376,66.6666666666667
partsunlimited,ground_truth,n_partitions,default,X,X,X,89.7326761347814,method_level,-1,X,10,20.0519417914788,20.1155182313796,90
partsunlimited,ground_truth,n_partitions,default,X,X,X,90.2000186022286,class_level,-1,X,0,20.1082361674701,20.1913987762302,100
spring-petclinic,ground_truth,n_partitions,default,X,X,X,79.7606837606838,method_level,-1,X,33.3333333333333,36.8464536028692,34.0107930185743,66.6666666666667
spring-petclinic,ground_truth,n_partitions,default,X,X,X,85.3873724841467,class_level,-1,X,0,38.0568076800619,34.4153724362058,100
demo,hydec,n_partitions,default,X,X,X,59.8424226148486,method_level,-1,X,0,34.8394315519625,12.0394736842105,100
demo,hydec,n_partitions,default,X,X,X,47.1314223631119,class_level,-1,X,3.57142857142857,34.8394315519625,12.0394736842105,96.4285714285714
jpetstore,hydec,n_partitions,default,X,X,X,52.8324977110015,method_level,-1,X,3.57142857142857,12.099436665507,12.1157005263844,96.4285714285714
jpetstore,hydec,n_partitions,default,X,X,X,32.009164670455,class_level,-1,X,3.57142857142857,12.099436665507,12.1157005263844,96.4285714285714
partsunlimited,hydec,n_partitions,default,X,X,X,91.9651697410934,method_level,-1,X,66.6666666666667,33.2322107508092,33.2325094633576,33.3333333333333
partsunlimited,hydec,n_partitions,default,X,X,X,89.4351516565959,class_level,-1,X,66.6666666666667,33.2322107508092,33.2325094633576,33.3333333333333
spring-petclinic,hydec,n_partitions,default,X,X,X,49.3055555555556,method_level,-1,X,0,43.1896848521468,35.9655758299815,100
spring-petclinic,hydec,n_partitions,default,X,X,X,42.3484848484849,class_level,-1,X,0,43.1896848521468,35.9655758299815,100
jpetstore,log2ms,n_partitions,default,X,X,X,76.0443178220956,method_level,-1,X,33.3333333333333,33.1206497248518,33.1029514632304,66.6666666666667
jpetstore,log2ms,n_partitions,default,X,X,X,69.8696554586966,class_level,-1,X,33.3333333333333,33.1206497248518,33.1029514632304,66.6666666666667
spring-petclinic,log2ms,n_partitions,default,X,X,X,39.3852524287307,method_level,-1,X,14.2857142857143,16.8799026182038,14.0572279737145,85.7142857142857
spring-petclinic,log2ms,n_partitions,default,X,X,X,29.1901791901792,class_level,-1,X,14.2857142857143,16.8799026182038,14.0572279737145,85.7142857142857
demo,mosaic,n_partitions,default,X,X,X,100,method_level,-1,X,0,45.6751127837811,24.4565217391304,100
jpetstore,mosaic,n_partitions,default,X,X,X,80.3243616287095,method_level,-1,X,0,33.0628843753255,33.0691506831083,100
partsunlimited,mosaic,n_partitions,default,X,X,X,90.7626396156135,method_level,-1,X,10,20.1207094274504,20.194009554584,90
spring-petclinic,mosaic,n_partitions,default,X,X,X,100,method_level,-1,X,0,53.6609382376874,50.7999193223623,100
demo,tomicroservices,4_partitions,functionality,X,X,X,34.9987052502104,method_level,-1,X,50,27.576029996859,24.3478260869565,50
jpetstore,tomicroservices,3_partitions,functionality,X,X,X,34.6428571428571,method_level,-1,X,33.3333333333333,32.9781491038709,33.0236759382862,66.6666666666667
partsunlimited,tomicroservices,5_partitions,functionality,X,X,X,29.5115894039735,method_level,-1,X,40,19.2073781982668,19.4073015830348,60
spring-petclinic,tomicroservices,3_partitions,functionality,X,X,X,60.3174603174603,method_level,-1,X,0,33.9047231511272,32.726727277622,100
jpetstore,tomicroservices_p1,4_partitions,functionality,X,X,X,29.5424771167048,method_level,-1,X,83.3333333333333,24.6567205861904,24.6526179050368,16.6666666666667
spring-petclinic,tomicroservices_p1,4_partitions,functionality,X,X,X,20.3409090909091,method_level,-1,X,50,23.7980739018576,23.4550470288652,50
jpetstore,tomicroservices_p2,10_partitions,functionality,X,X,X,9.41715470884528,method_level,-1,X,20,9.57827767503243,9.57828511031283,80
spring-petclinic,tomicroservices_p2,12_partitions,functionality,X,X,X,3.75,method_level,-1,X,1.51515151515152,7.52937446304389,6.9357553828695,98.4848484848485
jpetstore,tomicroservices_p3,5_partitions,functionality,X,X,X,42.1673400673401,method_level,-1,X,60,19.6502986859548,19.6511101399009,40
spring-petclinic,tomicroservices_p3,5_partitions,functionality,X,X,X,35.2380952380952,method_level,-1,X,10,21.7512917797189,19.6299263792466,90
demo,mono2micro,4_partitions,natural,X,X,X,91.6694715807434,method_level,-1,X,0,48.411738802859,24.5762711864407,100
demo,mono2micro,4_partitions,natural,X,X,X,80.2506435006435,class_level,-1,X,0,48.411738802859,24.5762711864407,100
jpetstore,mono2micro,3_partitions,natural,X,X,X,100,method_level,-1,X,0,100,100,100
jpetstore,mono2micro,3_partitions,natural,X,X,X,100,class_level,-1,X,0,100,100,100
partsunlimited,mono2micro,5_partitions,natural,X,X,X,68.9241979231868,method_level,-1,X,100,33.2512049651523,33.2667487566612,0
partsunlimited,mono2micro,5_partitions,natural,X,X,X,51.0089045134613,class_level,-1,X,100,33.2512049651523,33.2667487566612,0
spring-petclinic,mono2micro,3_partitions,natural,X,X,X,82.9923273657289,method_level,-1,X,33.3333333333333,39.2706293343932,34.627911265408,66.6666666666667
spring-petclinic,mono2micro,3_partitions,natural,X,X,X,77.7777777777778,class_level,-1,X,33.3333333333333,39.2706293343932,34.627911265408,66.6666666666667
demo,tomicroservices,4_partitions,overhead,X,X,X,38.5165026864839,method_level,-1,X,50,27.4294198180359,24.3478260869565,50
jpetstore,tomicroservices,3_partitions,overhead,X,X,X,40.7326007326007,method_level,-1,X,66.6666666666667,32.9791835093967,33.0250387404193,33.3333333333333
partsunlimited,tomicroservices,5_partitions,overhead,X,X,X,35.3245298119248,method_level,-1,X,50,19.1473142375093,19.3870941902808,50
spring-petclinic,tomicroservices,3_partitions,overhead,X,X,X,57.1258199165176,method_level,-1,X,0,36.3154131135944,33.3601849893348,100
jpetstore,tomicroservices_p1,4_partitions,overhead,X,X,X,29.5424771167048,method_level,-1,X,83.3333333333333,24.6567205861904,24.6526179050368,16.6666666666667
spring-petclinic,tomicroservices_p1,4_partitions,overhead,X,X,X,20.3409090909091,method_level,-1,X,50,23.7980739018576,23.4550470288652,50
jpetstore,tomicroservices_p2,8_partitions,overhead,X,X,X,9.33768746976294,method_level,-1,X,21.4285714285714,12.0853984404159,12.0974797822317,78.5714285714286
spring-petclinic,tomicroservices_p2,12_partitions,overhead,X,X,X,5.92592592592593,method_level,-1,X,3.03030303030303,6.89090895037625,6.59927309400269,96.969696969697
jpetstore,tomicroservices_p3,5_partitions,overhead,X,X,X,41.9172494172494,method_level,-1,X,30,19.6703363320842,19.6637062441978,70
spring-petclinic,tomicroservices_p3,5_partitions,overhead,X,X,X,35.6521739130435,method_level,-1,X,0,21.5899984516229,19.5106750682776,100
jpetstore,tomicroservices_p1,4_partitions,reuse,X,X,X,29.5424771167048,method_level,-1,X,83.3333333333333,24.6567205861904,24.6526179050368,16.6666666666667
spring-petclinic,tomicroservices_p1,4_partitions,reuse,X,X,X,20.3409090909091,method_level,-1,X,50,23.7980739018576,23.4550470288652,50
jpetstore,tomicroservices_p2,8_partitions,reuse,X,X,X,9.33768746976294,method_level,-1,X,21.4285714285714,12.0853984404159,12.0974797822317,78.5714285714286
spring-petclinic,tomicroservices_p2,12_partitions,reuse,X,X,X,5.92592592592593,method_level,-1,X,3.03030303030303,7.11562511606901,6.66093030242843,96.969696969697
jpetstore,tomicroservices_p3,5_partitions,reuse,X,X,X,40.4158249158249,method_level,-1,X,40,19.6727174011131,19.6737555610881,60
spring-petclinic,tomicroservices_p3,5_partitions,reuse,X,X,X,35.6521739130435,method_level,-1,X,0,21.5899984516229,19.5106750682776,
